"Type","Color","Category","Size","Currency","Value","Price","TotalQuantity","Quantity","Pending","Vintage","Wine","Locale","Producer","Varietal","Country","Region","SubRegion","Appellation","BeginConsume","EndConsume","PScore","CScore"
"White - Sweet/Dessert","White","Sweet/Dessert","500ml","SEK","150","150","1","1","0","2016","Achim Hochthurn Ortega Beerenauslese edels��","Germany, Rheinhessen","Achim Hochthurn","Ortega","Germany","Rheinhessen","Unknown","Unknown","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","167,2485","167,2485","1","1","0","1001","Al Rocol Franciacorta Brut Ca' Del Luf","Italy, Lombardia, Franciacorta DOCG","Al Rocol","Chardonnay Blend","Italy","Lombardia","Unknown","Franciacorta DOCG","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","245,2977","245,2977","1","1","0","2019","Al Rocol Franciacorta Castellini","Italy, Lombardia, Franciacorta DOCG","Al Rocol","Chardonnay Blend","Italy","Lombardia","Unknown","Franciacorta DOCG","9999","9999","",""
"Ros� - Sparkling","Ros�","Sparkling","750ml","SEK","222,998","222,998","1","1","0","1001","Al Rocol Franciacorta Le Rive Ros�","Italy, Lombardia, Franciacorta DOCG","Al Rocol","Champagne Blend","Italy","Lombardia","Unknown","Franciacorta DOCG","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","407","407","1","1","0","1001","Alexandre Penet Champagne Premier Cru Extra Brut","France, Champagne, Champagne Premier Cru","Alexandre Penet","Champagne Blend","France","Champagne","Unknown","Champagne Premier Cru","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","399","399","1","1","0","2020","Alta Alella Alella Mirgin Opus Brut Nature CDPC Vallcirera","Spain, Catalunya, Alella","Alta Alella","Macabeo-Xarello-Parellada Blend","Spain","Catalunya","Unknown","Alella","9999","9999","",""
"Red","Red","Dry","750ml","SEK","269","269","4","4","0","2022","Alta Alella Cau d'en Gen�s","Spain, Catalunya, Alella","Alta Alella","Garnacha Tinta","Spain","Catalunya","Unknown","Alella","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","249","249","1","1","0","2020","Alta Alella Cava Brut Nature Gran Reserva Laiet�","Spain, Cava","Alta Alella","White Blend","Spain","Spain","Unknown","Cava","9999","9999","",""
"White - Sparkling","White","Sparkling","1.5L","SEK","624,3943","624,3943","1","1","0","2019","Alta Alella Cava Brut Nature Gran Reserva Laiet�","Spain, Cava","Alta Alella","White Blend","Spain","Spain","Unknown","Cava","9999","9999","",""
"Red - Sweet/Dessert","Red","Sweet/Dessert","750ml","SEK","379","379","1","1","0","2023","Weingut Angerhof-Tschida Blaufr�nkisch Eiswein","Austria, Burgenland, Neusiedlersee","Weingut Angerhof-Tschida","Blaufr�nkisch","Austria","Burgenland","Neusiedlersee","Unknown","9999","9999","",""
